1,6,54
1,7,7
1,16,13
1,22,8
1,23,5
1,31,20
1,40,83
1,42,25
1,48,65
2,10,55
2,37,61
3,27,7
3,36,98
3,49,90
4,35,39
4,37,23
5,2,7
5,6,95
5,9,7
5,11,18
5,16,5
5,20,39
5,22,48
5,23,7
5,26,55
5,27,55
5,29,95
5,30,97
5,33,57
5,34,53
5,38,51
5,39,93
5,40,65
5,42,39
5,46,95
5,48,70
6,11,56
6,13,19
6,15,6
6,24,66
6,34,60
6,49,35
7,3,81
7,5,90
7,6,20
7,8,74
7,13,59
7,18,82
7,19,50
7,20,35
7,21,26
7,23,63
7,26,68
7,29,43
7,30,54
7,32,15
7,35,67
7,37,82
7,38,44
7,40,45
7,43,86
7,49,72
8,1,27
8,2,76
8,10,65
8,13,84
8,22,99
8,23,57
8,24,15
8,25,31
8,30,78
8,33,40
8,35,67
8,40,85
8,41,69
8,42,70
8,43,69
8,44,66
8,47,93
8,49,82
9,6,86
9,8,86
9,9,0
9,10,50
9,11,6
9,13,83
9,15,85
9,16,48
9,20,36
9,21,58
9,22,57
9,23,79
9,28,80
9,29,40
9,31,98
9,37,81
9,38,93
9,40,28
9,41,18
9,45,40
9,49,62
9,50,69
10,3,38
10,6,82
10,11,40
10,14,23
10,15,71
10,27,55
10,30,35
10,32,75
10,35,78
10,36,10
10,41,66
10,44,57
10,49,75
11,8,60
11,11,0
11,12,56
11,16,31
11,19,62
11,21,76
11,22,64
11,24,66
11,26,20
11,27,49
11,28,98
11,29,24
11,30,50
11,31,62
11,32,44
11,34,94
11,35,19
11,37,25
11,43,10
11,44,64
11,47,26
11,49,92
12,1,42
12,3,95
12,6,10
12,12,0
12,14,47
12,16,85
12,17,61
12,23,87
12,27,63
12,30,92
12,31,7
12,32,86
12,33,60
12,35,44
12,36,27
12,38,60
12,41,56
12,42,56
12,44,25
12,46,88
12,47,33
12,48,41
13,1,94
13,4,79
13,5,95
13,10,52
13,11,38
13,24,56
13,26,96
13,29,24
13,33,91
13,39,11
13,45,23
13,47,28
13,48,64
13,50,15
14,5,36
14,8,85
14,16,24
14,17,22
14,20,34
14,21,75
14,23,18
14,27,48
14,28,84
14,33,95
14,37,66
14,39,60
14,42,84
14,44,48
14,45,84
14,46,29
14,49,59
15,1,65
15,12,56
15,18,44
15,21,32
15,25,98
15,27,14
15,33,90
15,34,17
15,38,86
15,42,84
15,44,72
15,45,15
15,47,62
15,50,95
16,4,37
16,7,73
16,8,45
16,16,0
16,19,76
16,25,39
16,27,88
16,28,16
16,29,98
16,30,13
16,33,11
16,34,48
16,37,96
16,41,84
16,44,59
16,47,80
16,48,28
17,4,62
17,5,95
17,8,94
17,10,15
17,13,81
17,15,36
17,18,54
17,22,15
17,25,51
17,31,7
17,33,34
17,36,33
17,37,79
17,42,71
18,2,97
18,4,76
18,9,14
18,11,76
18,12,21
18,13,82
18,24,17
18,29,8
18,30,25
18,31,87
18,33,39
18,35,20
18,38,20
18,39,14
18,40,70
18,41,89
18,44,7
18,46,12
18,48,61
19,2,63
19,6,62
19,10,58
19,15,48
19,17,74
19,18,46
19,19,0
19,21,60
19,23,5
19,24,75
19,28,94
19,32,78
19,36,80
19,41,95
19,43,50
19,46,79
19,47,31
19,50,58
20,18,77
20,25,83
20,26,49
20,27,98
20,28,38
20,33,21
20,34,80
20,37,75
20,43,40
20,44,28
20,49,50
21,34,73
22,22,0
23,11,10
23,17,12
23,20,30
23,22,27
23,28,36
23,29,98
23,30,97
23,32,61
23,33,94
23,34,62
23,37,42
23,38,31
23,39,10
23,41,10
23,42,32
23,48,23
23,49,51
24,5,99
24,14,48
24,16,99
24,21,91
24,27,52
24,35,18
24,38,44
24,39,52
24,43,74
24,49,78
25,1,40
25,6,86
25,7,28
25,9,54
25,10,62
25,13,35
25,18,61
25,22,15
25,23,60
25,26,30
25,29,92
25,30,88
25,31,5
25,32,41
25,34,45
25,35,91
25,39,17
25,42,28
25,46,5
25,47,40
25,48,37
26,1,12
26,6,49
26,16,50
26,17,72
26,18,69
26,19,5
26,22,69
26,26,0
26,35,16
26,40,15
26,42,47
26,44,41
26,45,52
26,46,34
27,4,34
28,7,57
28,13,8
28,24,60
28,25,17
28,28,0
28,29,19
28,34,98
28,35,87
28,36,38
28,37,11
28,38,37
28,39,16
28,40,44
28,41,98
28,43,45
28,44,58
28,45,28
28,47,59
28,48,13
29,8,69
29,10,28
29,12,65
29,14,25
29,30,7
29,31,85
29,47,29
29,48,49
30,3,83
30,9,9
30,14,31
30,27,13
30,30,0
30,31,76
30,33,19
30,34,52
30,39,35
30,43,15
30,44,46
30,48,52
30,49,73
30,50,97
31,2,67
31,3,96
31,5,27
31,6,26
31,10,13
31,22,79
31,26,77
31,34,63
31,37,50
31,45,59
31,50,89
32,1,85
32,5,6
32,6,32
32,13,55
32,17,30
32,24,35
32,30,50
